project_id,project_name,domain
P001,Fraud Detection System,Banking
P002,Risk Analytics Platform,Banking
P003,Credit Scoring Engine,Banking
P004,Algorithmic Trading Dashboard,Banking
P005,Insurance Claims Engine,Insurance
P006,Customer Churn Predictor,Telecom
P007,Retail Analytics Platform,Retail
P008,Supply Chain Optimizer,Logistics
P009,Predictive Maintenance Hub,Manufacturing
P010,Patient Health Tracker,Healthcare
P011,Automotive Telematics Platform,Automotive
P012,Inventory Forecasting Engine,Retail
P013,Fraud Prevention Portal,Insurance
P014,Billing & Invoice Manager,Telecom
P015,Warehouse Automation API,Logistics
P016,Medical Image Analyzer,Healthcare
P017,Smart Grid Energy Analyst,Manufacturing
P018,Fleet Routing System,Logistics
P019,E-Commerce Recommendation Engine,Retail
P020,Underwriting Automation Engine,Insurance
P021,Logistics Data Pipeline,Logistics
P022,Automotive Compliance Portal,Automotive
P023,Insurance Analytics Engine,Insurance
P024,Automotive Compliance Portal,Automotive
P025,Logistics Compliance Portal,Logistics
P026,Manufacturing Analytics Engine,Manufacturing
P027,Telecom Compliance Portal,Telecom
P028,Healthcare Integration Hub,Healthcare
P029,Manufacturing Data Pipeline,Manufacturing
P030,Telecom Integration Hub,Telecom
P031,Insurance Analytics Engine,Insurance
P032,Retail Intelligence API,Retail
P033,Manufacturing Data Pipeline,Manufacturing
P034,Banking Compliance Portal,Banking
P035,Insurance Migration Tool,Insurance
P036,Banking Intelligence API,Banking
P037,Telecom Migration Tool,Telecom
P038,Logistics Data Pipeline,Logistics
P039,Manufacturing Data Pipeline,Manufacturing
P040,Manufacturing Analytics Engine,Manufacturing
P041,Logistics Integration Hub,Logistics
P042,Logistics Compliance Portal,Logistics
P043,Banking Analytics Engine,Banking
P044,Logistics Integration Hub,Logistics
P045,Telecom Data Pipeline,Telecom
P046,Healthcare Intelligence API,Healthcare
P047,Banking Migration Tool,Banking
P048,Retail Analytics Engine,Retail
P049,Insurance Migration Tool,Insurance
P050,Banking Compliance Portal,Banking
